channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,"Binary, Hanoi, and Sierpinski, part 2",yes,binary & number representation; recursion & fractals,13.7,https://www.youtube.com/watch?v=bdMfjfT0lKk,327000,bdMfjfT0lKk
3Blue1Brown,"Binary, Hanoi and Sierpinski, part 1",yes,binary & number representation; recursion & fractals,14.0,https://www.youtube.com/watch?v=2SUvWfNJSsM,771000,2SUvWfNJSsM
3Blue1Brown,3blue1brown channel trailer,,,1.5,https://www.youtube.com/watch?v=R7p-nPg8t_g,409000,R7p-nPg8t_g
3Blue1Brown,Who cares about topology?   (Old version),,geometry,16.5,https://www.youtube.com/watch?v=AmgkSdhK4K8,3200000,AmgkSdhK4K8
3Blue1Brown,"Abstract vector spaces | Chapter 16, Essence of linear algebra",,algebra & equations; matrices & vectors,16.8,https://www.youtube.com/watch?v=TgKwz5Ikpc8,1700000,TgKwz5Ikpc8
3Blue1Brown,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",yes,algebra & equations; matrices & vectors,17.3,https://www.youtube.com/watch?v=PFDu9oVAE-g,6300000,PFDu9oVAE-g
3Blue1Brown,"Change of basis | Chapter 13, Essence of linear algebra",,algebra & equations; matrices & vectors,12.8,https://www.youtube.com/watch?v=P2LTAUO1TdA,2500000,P2LTAUO1TdA
3Blue1Brown,"Cross products | Chapter 10, Essence of linear algebra",,algebra & equations; matrices & vectors,8.9,https://www.youtube.com/watch?v=eu6i7WJeinw,2400000,eu6i7WJeinw
3Blue1Brown,"Cross products in the light of linear transformations | Chapter 11, Essence of linear algebra",,algebra & equations; matrices & vectors,13.2,https://www.youtube.com/watch?v=BaM7OCEm3G0,1600000,BaM7OCEm3G0
3Blue1Brown,"Dot products and duality | Chapter 9, Essence of linear algebra",yes,algebra & equations; matrices & vectors,14.2,https://www.youtube.com/watch?v=LyGKycYT2v0,3300000,LyGKycYT2v0
3Blue1Brown,"Nonsquare matrices as transformations between dimensions | Chapter 8, Essence of linear algebra",,algebra & equations; geometry; matrices & vectors,4.5,https://www.youtube.com/watch?v=v8VSDg_WQlA,2000000,v8VSDg_WQlA
3Blue1Brown,"Inverse matrices, column space and null space | Chapter 7, Essence of linear algebra",yes,algebra & equations; matrices & vectors,12.2,https://www.youtube.com/watch?v=uQhTuRlWMxw,3800000,uQhTuRlWMxw
