name,discovered,method,orbit_days,radius_earths,distance_ly
Kepler-863 b,2016,Transit,15.595,2.9,4891.2
Kepler-278 c,2014,Transit,51.111,3.27,1445.0
GJ 180 d,2020,Radial Velocity,106.3,2.66,38.9
K2-86 b,2016,Transit,8.7768,1.96,843.8
HD 196050 b,2002,Radial Velocity,1392.0,12.9,165.3
Kepler-564 b,2016,Transit,3.7508,4.63,2814.8
Kepler-878 b,2016,Transit,25.942,1.93,2581.9
HD 120084 b,2013,Radial Velocity,2142.0,12.7,336.1
TOI-2384 b,2024,Transit,2.1357,11.49,624.6
Kepler-82 d,2014,Transit,2.383,1.77,2949.5
Kepler-338 b,2014,Transit,13.727,2.44,1803.0
KOI-884 e,2014,Transit Timing Variations,31.102,9.54,2164.7
K2-87 b,2016,Transit,9.7266,7.6,1602.2
Kepler-983 b,2016,Transit,60.086,2.36,2330.2
Kepler-1948 b,2021,Transit,15.571,1.03,632.4
Kepler-444 c,2015,Transit,4.5459,0.5,118.8
Kepler-1173 b,2016,Transit,0.76985,0.89,1229.8
HD 219077 b,2012,Radial Velocity,5478.7,12.5,95.2
Kepler-458 c,2016,Transit,20.74,4.2,5201.3
Kepler-1608 b,2016,Transit,16.474,1.73,2713.6
TOI-2093 b,2025,Radial Velocity,12.836,3.25,270.1
EPIC 212499991 b,2019,Transit,34.885,1.6,924.0
Kepler-759 b,2016,Transit,41.806,2.27,3501.2
Kepler-563 b,2016,Transit,22.184,3.09,1843.5
Kepler-296 f,2014,Transit,63.336,1.8,544.7
Kepler-534 b,2016,Transit,15.96,2.24,1861.2
TOI-512 b,2025,Transit,7.1889,1.54,219.8
HD 75784 b,2014,Radial Velocity,341.2,13.8,278.6
Kepler-172 c,2014,Transit,6.389,2.86,2702.5
Kepler-1340 b,2016,Transit,0.66503,1.55,3202.1
Kepler-1115 b,2016,Transit,23.554,1.7,3206.9
KIC 5437945 b,2015,Transit,440.78,6.4,4155.3
Kepler-1859 c,2023,Transit,3.5965,1.66,4342.0
Kepler-1201 b,2016,Transit,15.187,2.29,3079.7
Kepler-232 c,2014,Transit,11.379,3.83,4400.3
tau Cet g,2017,Radial Velocity,20.0,1.18,11.8
Kepler-151 b,2014,Transit,15.229,3.06,2119.7
TOI-201 b,2021,Transit,52.979,11.4,371.2
Kepler-207 d,2014,Transit,5.8681,3.31,2855.6
GJ 887 e,2026,Radial Velocity,4.4249,1.12,10.7
WASP-108 b,2020,Transit,2.6756,15.13,844.0
Kepler-1521 b,2016,Transit,47.148,2.5,675.1
Kepler-238 c,2014,Transit,6.1556,2.39,5866.7
GJ 676 A d,2012,Radial Velocity,3.6008,1.78,52.3
Kepler-620 b,2016,Transit,12.914,3.32,4420.3
TOI-2989 b,2025,Transit,3.1228,12.55,638.6
Kepler-349 c,2014,Transit,12.248,1.96,3068.2
Kepler-1231 b,2016,Transit,10.417,1.42,3219.9
Kepler-274 b,2014,Transit,11.635,1.54,4349.7
Kepler-832 b,2016,Transit,7.1397,2.06,5505.9
Kepler-1889 b,2021,Transit,37.304,2.94,4550.3
Kepler-988 b,2016,Transit,17.761,2.07,994.4
TOI-880 c,2025,Transit,6.3873,4.95,197.9
HD 12235 b,2022,Radial Velocity,4.3631,3.23,103.6
Kepler-444 f,2015,Transit,9.7405,0.74,118.8
GJ 887 c,2020,Radial Velocity,21.784,2.43,10.7
Kepler-524 b,2016,Transit,7.9742,1.91,3451.5
Kepler-1075 b,2016,Transit,1.5237,1.42,950.0
Kepler-368 b,2014,Transit,26.848,3.26,2514.6
